Name,Age,Gender,Height_cm,Weight_kg,Fitness_Goals,Fitness_Level,Days_Available,Time_per_Session_mins,Exercise_Preferences,Gym_Equipment,plan
David,36,Male,179,75,Maintain overall health and well-being,Intermediate,3 days a week,64,"Varied, including strength and cardio",Full gym access,2
John,25,Female,160,62,Build muscle and increase strength,Advanced,3 days a week,43,"Free weights, compound exercises","Bench press, squat rack",1
Sarah,25,Female,160,55,Build muscle and increase strength,Intermediate,3 days a week,30,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
Michael,37,Male,184,90,Gain endurance and boost cardiovascular health,Advanced,5 days a week,90,"Cardio, running, cycling","Stationary bike, treadmill",2
Michael,31,Male,173,70,Lose weight and improve overall fitness,Intermediate,3 days a week,56,"Cardio, running, cycling","Stationary bike, treadmill",2
Emily,29,Female,166,66,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,51,"Cardio, running, cycling","Yoga mat, resistance bands",2
Sarah,30,Male,170,73,Lose weight and improve overall fitness,Advanced,3 days a week,60,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
Michael,35,Male,180,78,Gain endurance and boost cardiovascular health,Advanced,5 days a week,66,"Cardio, running, cycling","Stationary bike, treadmill",2
Michael,35,Male,179,86,Gain endurance and boost cardiovascular health,Advanced,3 days a week,84,"Cardio, running, cycling","Stationary bike, treadmill",2
David,29,Female,162,68,Enhance flexibility and reduce stress,Advanced,3 days a week,52,Yoga and Pilates,"Yoga mat, resistance bands",1
Sarah,25,Female,160,55,Build muscle and increase strength,Intermediate,3 days a week,30,"Free weights, compound exercises","Bench press, squat rack",2
David,37,Male,178,87,Enhance flexibility and reduce stress,Advanced,5 days a week,85,Yoga and Pilates,"Yoga mat, resistance bands",2
Sarah,25,Female,160,61,Lose weight and improve overall fitness,Advanced,3 days a week,40,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
Emily,37,Male,184,77,Enhance flexibility and reduce stress,Advanced,5 days a week,63,Yoga and Pilates,"Yoga mat, resistance bands",2
Michael,25,Female,160,55,Gain endurance and boost cardiovascular health,Advanced,3 days a week,30,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
John,25,Female,163,69,Build muscle and increase strength,Advanced,3 days a week,51,"Free weights, compound exercises","Bench press, squat rack",2
Michael,29,Female,169,74,Lose weight and improve overall fitness,Advanced,3 days a week,62,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
Sarah,32,Male,176,78,Lose weight and improve overall fitness,Advanced,3 days a week,68,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
John,25,Male,163,58,Build muscle and increase strength,Intermediate,3 days a week,40,"Free weights, compound exercises","Bench press, squat rack",1
David,32,Female,169,69,Maintain overall health and well-being,Advanced,3 days a week,54,"Varied, including strength and cardio",Full gym access,2
Sarah,31,Male,175,75,Lose weight and improve overall fitness,Intermediate,3 days a week,66,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
Michael,34,Male,176,87,Gain endurance and boost cardiovascular health,Advanced,5 days a week,85,"Cardio, running, cycling","Stationary bike, treadmill",1
Sarah,27,Female,166,69,Lose weight and improve overall fitness,Intermediate,3 days a week,57,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
Michael,31,Female,171,76,Gain endurance and boost cardiovascular health,Advanced,3 days a week,65,"Cardio, running, cycling","Stationary bike, treadmill",1
David,38,Male,183,84,Enhance flexibility and reduce stress,Intermediate,3 days a week,82,Yoga and Pilates,Full gym access,1
Sarah,28,Male,168,71,Lose weight and improve overall fitness,Advanced,3 days a week,57,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
John,29,Male,173,77,Build muscle and increase strength,Intermediate,3 days a week,70,"Free weights, compound exercises","Bench press, squat rack",2
Emily,33,Male,175,67,Enhance flexibility and reduce stress,Intermediate,3 days a week,48,Yoga and Pilates,"Yoga mat, resistance bands",1
Michael,32,Male,174,71,Gain endurance and boost cardiovascular health,Advanced,3 days a week,57,"Cardio, running, cycling","Stationary bike, treadmill",2
Michael,29,Female,166,61,Gain endurance and boost cardiovascular health,Advanced,3 days a week,38,"Cardio, running, cycling","Stationary bike, treadmill",2
Emily,33,Male,173,78,Enhance flexibility and reduce stress,Advanced,3 days a week,70,Yoga and Pilates,"Yoga mat, resistance bands",2
Emily,34,Male,176,81,Enhance flexibility and reduce stress,Advanced,5 days a week,73,Yoga and Pilates,"Stationary bike, treadmill",1
Sarah,25,Female,161,59,Build muscle and increase strength,Intermediate,3 days a week,36,"Free weights, compound exercises","Treadmill, resistance bands",1
Sarah,32,Male,176,74,Lose weight and improve overall fitness,Intermediate,3 days a week,64,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
Michael,35,Male,179,76,Enhance flexibility and reduce stress,Beginner,5 days a week,58,"Cardio, running, cycling","Stationary bike, treadmill",2
Michael,32,Male,176,72,Gain endurance and boost cardiovascular health,Advanced,3 days a week,59,"Cardio, running, cycling","Stationary bike, treadmill",1
David,40,Male,185,86,Maintain overall health and well-being,Advanced,5 days a week,82,"Varied, including strength and cardio",Full gym access,2
Michael,30,Female,169,79,Gain endurance and boost cardiovascular health,Beginner,3 days a week,70,"Cardio, running, cycling","Treadmill, resistance bands",2
John,32,Male,179,80,Build muscle and increase strength,Advanced,3 days a week,70,"Free weights, compound exercises","Bench press, squat rack",1
David,40,Male,185,81,Maintain overall health and well-being,Intermediate,5 days a week,69,"Varied, including strength and cardio",Full gym access,1
John,25,Female,160,64,Build muscle and increase strength,Advanced,3 days a week,44,"Free weights, compound exercises","Bench press, squat rack",2
Emily,32,Male,173,71,Enhance flexibility and reduce stress,Intermediate,3 days a week,59,Yoga and Pilates,"Yoga mat, resistance bands",1
Sarah,25,Female,160,55,Build muscle and increase strength,Intermediate,3 days a week,30,"Free weights, compound exercises","Treadmill, resistance bands",1
Sarah,27,Female,165,70,Lose weight and improve overall fitness,Advanced,3 days a week,56,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
Emily,33,Male,176,68,Gain endurance and boost cardiovascular health,Intermediate,3 days a week,52,"Cardio, running, cycling","Stationary bike, treadmill",2
Emily,40,Male,185,90,Enhance flexibility and reduce stress,Advanced,5 days a week,90,Yoga and Pilates,"Yoga mat, resistance bands",1
David,39,Male,182,87,Maintain overall health and well-being,Advanced,5 days a week,84,"Varied, including strength and cardio",Full gym access,2
Sarah,34,Male,178,87,Lose weight and improve overall fitness,Advanced,5 days a week,84,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
John,30,Male,174,83,Build muscle and increase strength,Advanced,3 days a week,77,"Free weights, compound exercises","Bench press, squat rack",1
Sarah,32,Male,177,80,Build muscle and increase strength,Intermediate,3 days a week,76,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
Emily,32,Male,172,73,Enhance flexibility and reduce stress,Advanced,3 days a week,60,Yoga and Pilates,"Yoga mat, resistance bands",2
Sarah,26,Female,163,70,Build muscle and increase strength,Advanced,3 days a week,54,"Free weights, compound exercises","Bench press, squat rack",1
David,38,Male,182,76,Maintain overall health and well-being,Advanced,5 days a week,62,"Varied, including strength and cardio",Full gym access,2
David,39,Male,182,88,Maintain overall health and well-being,Advanced,5 days a week,85,"Varied, including strength and cardio",Full gym access,2
Sarah,35,Male,182,89,Lose weight and improve overall fitness,Intermediate,3 days a week,89,Cardio and bodyweight exercises,"Treadmill, resistance bands",1
David,33,Male,172,64,Maintain overall health and well-being,Advanced,3 days a week,42,"Varied, including strength and cardio",Full gym access,1
John,25,Female,163,60,Build muscle and increase strength,Intermediate,3 days a week,40,"Free weights, compound exercises","Bench press, squat rack",1
John,29,Male,172,77,Build muscle and increase strength,Advanced,3 days a week,65,"Free weights, compound exercises","Bench press, squat rack",1
Emily,31,Female,169,67,Enhance flexibility and reduce stress,Advanced,3 days a week,51,Yoga and Pilates,"Yoga mat, resistance bands",2
Sarah,25,Female,160,56,Lose weight and improve overall fitness,Advanced,3 days a week,30,Cardio and bodyweight exercises,"Treadmill, resistance bands",2
John,25,Female,163,62,Build muscle and increase strength,Advanced,3 days a week,40,"Free weights, compound exercises","Bench press, squat rack",1
Michael,35,Male,178,84,Gain endurance and boost cardiovascular health,Advanced,5 days a week,79,"Cardio, running, cycling","Stationary bike, treadmill",2
Emily,33,Male,174,73,Enhance flexibility and reduce stress,Advanced,3 days a week,61,Yoga and Pilates,"Yoga mat, resistance bands",2
David,27,Female,160,55,Maintain overall health and well-being,Beginner,3 days a week,30,"Varied, including strength and cardio","Yoga mat, resistance bands",2
Michael,38,Male,185,87,Gain endurance and boost cardiovascular health,Advanced,5 days a week,82,"Cardio, running, cycling","Stationary bike, treadmill",2
David,39,Male,181,75,Maintain overall health and well-being,Advanced,5 days a week,62,"Varied, including strength and cardio",Full gym access,1
